fact_id	node_id	fact_name	fact_detail
F1	1	主体成立时间	甲公司成立于2024年6月18日
F2	2	主体无开票记录	甲公司2024年未开票
F3	3	主体年度开票金额	甲公司2025年开票金额约424万元
F4	4	主体基本户开户行	甲公司在该支行开立基本户
F5	5	主体年度日均存款	甲公司2025年日均存款约38万元
F6	6	主体租赁面积	甲公司租赁乙公司厂房20655.88平方米
F7	7	主体年度租金支出	甲公司年租金支出428万元不等
F8	8	主体已转租面积	甲公司已将16716.90平方米转租给多家商户
F9	9	主体已出租/转租年度租金收入	甲公司转租年租金收入约671万元
F10	10	主体拟转租面积及预期租金	剩余3938.98平方米正在商谈转租，预计租金约200-300万元
F11	11	法定代表人公职身份	法定代表人张三为某村书记
F12	12	法定代表人自有房产数量与类型	张三在某村有6间落地房
F13	13	关联企业在本行贷款余额	关联企业丙公司在我支行贷款500万元
F14	14	关联企业抵押物信息	丙公司贷款由其位于某村厂房抵押，厂房约2.5亩，建筑面积约856.47平方米
F15	15	关联企业自有/使用厂房面积	关联企业丁公司，厂房约2亩
F16	16	法定代表人对外担保余额（他行）	法定代表人他行担保贷款余额约138万元
F17	17	法定代表人信用卡透支余额	法定代表人信用卡透支约17万元
F18	18	法定代表人对外担保金额	法定代表人对外担保50万元
F19	19	贷款担保人身份	该笔贷款由李四夫妻担保
F20	20	担保人对外投资及控制企业	李四夫妻为戊公司、己公司、庚公司大股东
F21	21	担保人自有房产及租金收入	李四夫妻拥有某地三间8层落地房，年租金收入28万元
F22	22	担保人自有高端住宅数量	李四夫妻拥有别墅二套
F23	23	担保人商业物业资产	李四夫妻拥有某大厦商铺约72平方米，价值约100万元
F24	24	担保人住宅资产评估价值	李四夫妻拥有某房产，建筑面积156.88平方米，RPS评估价356万元
F25	25	担保人年度净收入	担保人年净收入约100-150万元
F26	26	担保人无负债声明	王五无负债
F27	27	担保人保证贷款余额	李四保证贷款余额约53.7万元
F28	28	担保人信用卡透支余额	李四信用卡透支约0.9万元
F29	29	贷款审批额度	同意贷款250万元
